status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
GAIN,VENDIDO,80,-65,-45,-70,-80,1565017140000
GAIN,COMPRADO,135,10,10,45,140,1565017440000
GAIN,VENDIDO,110,-35,-60,-140,-225,1565018640000
GAIN,VENDIDO,215,-145,-275,-325,-315,1565018940000
LOSS,COMPRADO,95,50,85,80,125,1565020440000
GAIN,COMPRADO,95,-5,-20,5,85,1565021640000
GAIN,COMPRADO,90,55,115,50,70,1565021940000
LOSS,VENDIDO,135,-10,15,-20,-70,1565022540000
LOSS,VENDIDO,105,-85,-60,-90,-115,1565023440000
GAIN,VENDIDO,80,45,-100,-70,-130,1565023740000
GAIN,VENDIDO,110,25,10,-110,-195,1565024340000
GAIN,COMPRADO,120,-10,10,5,75,1565025240000
LOSS,COMPRADO,105,25,55,90,30,1565025540000
GAIN,COMPRADO,220,90,95,160,195,1565026740000
GAIN,VENDIDO,100,-150,-270,-30,40,1565027040000
GAIN,VENDIDO,155,-65,-90,-115,-150,1565027340000
GAIN,VENDIDO,95,55,-5,-115,-20,1565027940000
GAIN,COMPRADO,120,-50,20,-55,155,1565028240000
GAIN,VENDIDO,100,0,45,-75,-80,1565029440000
LOSS,COMPRADO,275,30,200,275,230,1565032440000
LOSS,VENDIDO,155,-35,-125,-240,-185,1565033340000
GAIN,COMPRADO,265,5,40,250,185,1565033940000
LOSS,VENDIDO,165,10,0,-65,-175,1565034540000
GAIN,COMPRADO,120,60,90,140,115,1565034840000
LOSS,COMPRADO,105,25,65,50,100,1565036940000
GAIN,COMPRADO,345,295,330,0,0,1565093040000
LOSS,VENDIDO,120,-15,-55,-65,-155,1565094240000
GAIN,COMPRADO,100,105,90,100,60,1565094540000
GAIN,COMPRADO,90,55,75,111,85,1565095140000
GAIN,VENDIDO,110,-95,-45,-120,-140,1565095740000
GAIN,VENDIDO,80,-40,-55,50,-135,1565096040000
GAIN,COMPRADO,235,-40,40,240,290,1565097240000
GAIN,COMPRADO,230,20,25,240,285,1565097540000
LOSS,COMPRADO,160,-85,-85,110,60,1565098440000
GAIN,VENDIDO,105,-20,-65,-165,-25,1565099340000
GAIN,COMPRADO,150,20,50,115,115,1565099940000
GAIN,COMPRADO,145,-15,-45,130,160,1565100240000
GAIN,VENDIDO,270,-75,-130,-340,-380,1565100840000
GAIN,VENDIDO,165,-60,-60,-260,-455,1565101140000
GAIN,COMPRADO,120,55,125,170,75,1565101440000
GAIN,COMPRADO,140,-110,-110,40,90,1565102040000
GAIN,COMPRADO,145,130,200,55,355,1565102340000
GAIN,VENDIDO,135,-135,-190,-10,-5,1565102640000
LOSS,VENDIDO,80,-50,-105,-125,-235,1565102940000
